Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;09/2023;159.226.991;18.568.362;177.795.353;19.857.671;197.653.025;1.065.554.469;3.624.112;2.742.264;28.109.448;4.923.192;7.193.049;46.592.066;103.093.836;0;1.215.240.371;2.467.132.868;13,10%;14,63%;16,26%;42.533.413;7,21%;20,31%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;09/2023;137.937.500;23.735.746;161.673.246;17.602.139;179.275.385;915.823.261;17.216.472;2.521.159;7.324.293;10.232;2.922.739;29.994.895;158.182.406;0;1.104.000.563;2.240.563.141;12,49%;14,64%;16,24%;38.640.020;7,22%;18,13%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;09/2023;111.642.056;15.061.512;126.703.569;24.011.279;150.714.848;834.953.059;3.658.176;1.537.917;6.924.363;1.284.785;7.695.666;21.100.906;86.380.759;0;942.434.724;1.690.873.266;11,85%;13,44%;15,99%;32.985.215;7,49%;25,41%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;09/2023;105.259.971;1.713.241;106.973.212;19.410.830;126.384.042;655.994.783;438.423;0;14.195.863;36.816;0;14.671.102;75.492.251;0;746.158.135;1.790.250.179;14,11%;14,34%;16,94%;26.115.535;5,98%;8,65%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;09/2023;72.775.740;6.564.983;79.340.723;13.679.862;93.020.586;559.650.412;8.395.372;748.919;11.386.378;2.636.191;8.771.807;31.938.667;60.491.060;0;652.080.139;1.069.503.733;11,16%;12,17%;14,27%;22.822.805;7,42%;18,23%
BNDES - PRUDENCIAL;1000081847;b4;S2;;C;1;RIO DE JANEIRO;RJ;09/2023;154.431.023;0;154.431.023;31.607.390;186.038.413;490.534.348;18.744.970;0;2.497.228;0;1.396.826;22.639.024;81.509.041;0;594.682.413;840.891.653;25,97%;25,97%;31,28%;14.869.941;18,37%;1,05%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;09/2023;43.901.621;423.819;44.325.439;14.546.903;58.872.343;229.488.210;5.885.185;19.309.144;43.153.261;7.296.721;3.964.106;79.608.417;29.844.615;0;338.941.242;540.893.044;12,95%;13,08%;17,37%;8.473.531;8,19%;24,44%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;09/2023;24.215.651;2.794.154;27.009.804;3.533.466;30.543.270;135.727.806;272.855;0;7.825.521;891.540;772.049;9.761.964;15.185.959;0;160.675.729;269.106.813;15,07%;16,81%;19,01%;4.016.893;10,04%;26,26%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;2;SAO PAULO;SP;09/2023;8.885.361;728.519;9.613.880;1.093.872;10.707.752;59.968.451;298.562;0;319.589;0;745;618.896;30.915.992;5.955.165;97.458.504;NA;9,12%;9,86%;10,99%;0;NA%;NA%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;;C;1;FORTALEZA;CE;09/2023;9.865.882;790.489;10.656.371;1.369.563;12.025.933;77.774.845;156.531;4.778;0;104.835;24.719;290.863;16.208.604;0;94.274.311;128.094.907;10,47%;11,30%;12,76%;2.356.858;8,32%;2,59%
